ID	SPQ1	SPQ2	SPQ3	SPQ4	SPQ5	SPQ6	SPQ7	SPQ8	SPQ9	SPQ10	SPQ11	SPQ12	SPQ13	SPQ14	SPQ15	SPQ16	SPQ17	SPQ18	SPQ19	SPQ20
1312	1	1	5	4	1	1	5	3	1	2	3	5	1	1	5	5	1	1	5	4
1313	5	5	1	5	3	5	1	1	5	5	1	1	5	4	1	1	2	4	1	1
1314	3	5	1	1	2	5	1	3	3	4	4	1	5	1	3	1	4	3	3	3
1315	3	4	2	4	2	3	2	4	3	4	4	2	3	2	3	5	3	4	4	4
1316	5	5	4	4	3	3	1	3	3	3	2	2	3	2	2	4	3	4	3	3
1317	3	3	3	4	2	4	2	3	5	2	4	1	1	3	4	4	2	4	1	4
1318	4	3	2	4	5	4	1	2	2	5	3	3	4	3	1	2	3	3	1	1
1319	4	3	5	4	5	3	1	1	1	4	2	4	3	1	1	4	4	1	4	4
1320	4	3	4	5	4	3	2	5	4	4	3	2	4	1	1	3	1	2	3	2
1321	4	5	3	4	3	2	2	1	1	4	2	2	3	1	1	4	2	4	3	2
1322	3	5	5	5	5	3	1	5	4	4	4	3	4	3	4	2	3	3	1	2
1323	3	3	1	2	4	3	2	2	3	4	2	2	5	2	1	5	4	3	3	2
1324	3	2	2	4	4	2	3	3	2	4	3	4	3	1	4	4	2	4	4	2
1325	4	2	3	4	1	1	1	4	1	5	4	4	3	1	3	5	2	5	5	4
1326	4	5	1	4	3	3	2	2	2	5	2	2	3	3	1	3	4	5	1	4
1327	3	2	2	4	1	1	2	3	4	2	3	2	3	1	2	4	2	3	2	2
1328	5	5	1	1	2	4	1	4	2	4	2	2	4	2	2	1	2	2	4	3
1329	4	4	2	3	3	4	1	2	4	4	2	1	4	3	1	2	4	3	1	2
1330	3	3	2	5	3	2	1	4	2	1	3	3	3	3	3	3	3	3	3	3
1331	3	4	1	2	5	5	1	4	1	5	3	1	5	4	2	2	3	4	1	3
1332	5	5	3	5	4	5	2	5	3	5	2	1	4	3	1	4	4	4	3	3
1333	4	3	2	2	5	3	2	2	4	5	3	2	5	3	1	2	5	3	2	4
1334	4	4	2	4	4	5	3	1	3	5	1	3	2	2	1	4	2	5	4	4
1335	4	3	1	1	4	4	1	2	3	4	2	1	4	2	1	2	1	3	1	1
1336	4	4	1	2	4	5	2	3	3	5	2	2	4	4	1	4	5	5	2	5
1337	2	4	2	4	3	2	1	2	2	2	2	3	3	1	1	5	2	3	4	1
1338	5	4	4	4	4	3	3	3	3	4	1	3	2	2	3	4	2	3	4	2
1339	2	5	4	4	4	3	1	1	4	4	4	1	3	3	1	4	2	4	1	1
1340	4	4	5	5	3	2	4	4	3	5	4	5	3	2	2	3	2	3	3	5
1341	3	1	3	4	2	2	1	4	5	5	4	4	4	3	3	4	1	4	3	1
1342	2	1	3	2	2	2	3	4	2	3	4	3	3	1	3	4	3	3	4	2
1343	4	5	1	1	4	4	1	2	4	5	1	1	5	3	1	2	3	4	1	1
1344	3	4	2	3	4	2	1	3	2	3	3	3	4	2	3	2	1	2	3	3
1345	1	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
1346	3	4	1	4	5	3	1	3	2	5	1	1	3	2	1	1	3	4	1	3
1347	1	1	4	3	1	1	5	1	2	1	1	4	4	2	3	4	1	2	4	2
1348	4	3	2	2	3	2	3	3	3	5	2	1	4	2	2	4	2	4	5	3
1349	4	5	2	3	3	3	2	5	4	5	3	2	3	1	2	3	1	4	2	4
1350	3	2	4	4	5	5	4	5	5	4	4	4	5	4	4	3	3	5	4	3
1351	2	2	3	2	4	4	1	3	4	3	3	4	2	3	1	3	3	3	2	3
1352	2	3	4	4	2	2	3	4	1	4	4	3	3	1	1	4	3	3	3	4
1353	3	2	4	4	1	2	3	4	2	2	4	4	3	2	4	4	2	2	4	4
1354	2	2	2	4	3	2	3	4	1	3	2	4	2	2	2	4	4	4	5	3
1355	2	4	2	5	4	3	3	4	2	5	4	4	4	1	4	5	4	3	2	4
1356	4	5	3	1	4	2	1	1	3	4	1	4	5	3	1	5	1	4	5	3
1357	1	2	1	4	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
1358	5	5	1	4	5	5	1	2	5	5	2	2	4	5	1	4	4	5	3	4
1359	3	4	2	4	3	4	1	4	2	4	4	3	3	2	2	4	3	5	3	4
1360	4	5	3	4	4	3	2	3	2	4	2	3	4	2	1	3	2	3	4	2
1361	5	4	1	1	5	5	2	5	4	5	2	5	5	5	2	3	5	5	2	2
1362	4	5	3	2	3	1	2	3	2	5	4	4	4	2	1	4	3	2	4	3
1363	4	3	1	2	3	2	1	4	2	5	1	3	4	2	1	3	2	4	3	2
1364	3	3	2	1	3	3	1	5	2	5	3	2	3	2	1	3	2	4	3	2
1365	2	2	2	1	4	3	2	2	4	5	2	3	4	1	1	2	4	4	2	2
1366	4	4	1	2	3	2	3	5	2	5	3	4	3	1	4	4	4	5	4	5
1367	4	4	4	4	2	3	2	4	3	3	3	3	4	2	2	4	1	2	4	3
1368	3	5	3	3	2	3	2	3	2	3	4	3	2	2	1	5	1	2	5	5
1369	3	4	2	4	4	3	2	4	2	3	4	4	3	1	2	3	2	3	2	5
1370	4	4	1	3	3	4	1	2	3	4	2	2	4	2	1	3	3	3	4	1
1371	4	4	5	2	5	3	1	5	5	4	2	1	5	4	3	5	2	2	2	3
1372	3	4	2	5	3	3	2	3	4	5	1	2	4	3	1	2	3	4	2	2
1373	4	3	2	3	4	3	2	4	4	3	4	4	3	1	2	3	2	3	1	3
1374	3	4	2	5	1	1	2	5	2	4	3	3	2	1	2	3	2	2	5	2
1375	4	4	1	2	4	4	1	4	3	5	3	2	4	1	1	3	2	2	2	3
1376	4	3	2	1	1	2	2	4	1	3	3	2	4	1	3	4	3	3	2	1
1377	5	5	3	3	4	3	2	3	4	5	2	2	4	4	2	4	2	5	3	2
1378	4	3	3	3	4	2	2	3	2	3	3	2	4	2	2	5	3	1	5	3
1379	2	5	2	4	4	2	2	4	2	5	2	1	4	1	2	3	2	4	2	2
1380	4	3	1	4	5	4	1	3	2	4	1	1	5	5	4	2	3	3	2	1
1381	4	4	1	2	4	3	1	2	2	4	3	1	3	2	1	2	2	3	2	2
