ID	SPQ1	SPQ2	SPQ3	SPQ4	SPQ5	SPQ6	SPQ7	SPQ8	SPQ9	SPQ10	SPQ11	SPQ12	SPQ13	SPQ14	SPQ15	SPQ16	SPQ17	SPQ18	SPQ19	SPQ20
1072	3	4	2	2	2	2	1	2	3	4	1	1	4	3	1	1	2	4	1	1
1073	5	5	2	3	4	2	1	2	4	4	1	2	4	2	3	5	4	4	3	2
1074	5	4	3	5	3	4	2	2	4	5	3	3	4	2	2	4	3	5	3	2
1075	4	3	3	4	2	3	2	3	2	2	3	3	4	2	2	1	2	3	3	2
1076	4	5	2	4	3	3	1	2	3	4	1	2	4	2	1	2	3	5	2	1
1077	3	2	3	4	4	4	1	4	3	4	3	3	4	3	3	5	2	4	2	3
1078	4	4	3	5	3	2	1	3	1	3	3	4	3	1	3	4	2	2	5	3
1079	3	4	3	2	4	3	1	2	4	3	4	2	4	3	1	3	2	4	3	4
1080	5	4	2	3	5	4	2	4	4	4	2	3	5	3	2	3	4	5	2	3
1081	3	4	2	4	3	3	2	4	3	4	3	3	4	2	3	4	3	4	3	3
1082	4	5	2	2	1	2	2	3	4	4	2	3	4	3	1	4	2	2	2	3
1083	2	3	2	2	4	3	3	3	3	3	3	3	3	3	3	4	3	2	2	3
1084	5	4	2	4	5	3	1	2	4	4	4	2	3	2	2	3	1	3	3	4
1085	2	3	3	5	3	2	5	1	1	1	2	2	2	5	3	1	3	1	2	1
1086	4	5	1	3	3	4	2	4	2	4	3	3	5	4	2	3	3	2	3	4
1087	5	2	1	3	3	4	1	2	4	3	3	4	5	2	1	3	2	2	2	1
1088	5	4	1	3	4	4	1	4	2	5	3	2	5	3	1	2	4	5	1	3
1089	4	5	1	4	5	4	1	4	5	4	3	2	5	4	2	2	3	4	2	4
1090	4	4	2	3	4	4	2	2	3	5	2	2	4	2	1	3	4	4	3	2
1091	4	5	4	4	4	4	1	5	5	5	5	3	4	5	4	3	4	2	5	4
1092	2	4	5	4	3	2	3	5	2	4	5	3	3	1	3	5	3	3	4	4
1093	2	3	2	4	4	4	4	5	4	2	3	3	4	4	3	1	4	4	2	3
1094	2	2	2	5	1	5	2	5	4	5	1	1	4	2	1	5	3	5	5	5
1095	3	2	1	4	4	4	2	4	4	4	4	4	4	4	3	5	4	4	4	4
1096	2	3	2	5	3	3	2	4	4	5	1	2	5	1	2	2	3	5	2	3
1097	1	2	4	5	1	3	3	2	1	3	2	2	2	2	2	4	1	1	1	4
1098	3	4	4	2	4	3	1	3	3	4	1	1	4	3	1	2	2	3	1	1
1099	1	3	2	4	3	4	1	2	4	4	1	2	4	3	1	4	2	1	3	3
1100	4	4	3	4	5	4	1	2	3	5	3	3	4	2	1	3	4	4	2	1
1101	2	3	1	1	2	4	1	2	4	5	1	1	4	2	1	2	3	4	2	2
1102	2	4	1	2	2	2	2	4	2	4	3	1	4	1	1	4	2	5	3	4
1103	2	5	1	2	4	1	2	2	2	4	2	1	3	1	1	2	2	2	2	4
1104	4	3	2	3	4	4	2	3	4	2	2	3	4	2	3	4	2	2	2	1
1105	2	4	3	2	2	3	1	3	1	4	2	2	2	1	2	4	3	3	3	2
1106	2	4	3	5	3	4	1	4	1	5	3	4	3	1	1	4	3	4	2	5
1107	4	5	2	4	5	4	1	3	4	4	2	3	2	4	2	1	3	4	4	1
1108	5	5	1	1	4	5	1	3	5	5	1	2	5	3	3	3	4	4	2	2
1109	3	4	2	4	2	4	2	2	2	4	2	1	5	2	1	4	2	5	3	3
1110	3	4	2	2	2	1	2	4	1	3	5	4	2	1	2	2	1	3	4	3
1111	5	4	2	2	5	1	1	3	2	5	4	2	4	2	1	4	4	5	4	1
1112	5	4	2	2	4	2	2	3	4	3	4	3	5	3	1	3	4	4	3	4
1113	2	3	1	4	2	2	2	1	2	5	2	3	4	1	1	1	2	3	3	2
1114	3	2	2	5	4	3	2	5	2	2	4	4	2	1	1	4	2	2	4	4
1115	5	5	1	4	5	5	4	4	5	4	3	3	3	3	3	3	4	4	4	4
1116	2	2	4	4	2	4	3	4	4	3	4	3	5	2	2	4	4	4	3	4
1117	5	5	2	3	4	4	1	3	4	5	1	2	5	3	1	3	3	4	3	2
1118	4	4	3	4	2	4	1	3	3	4	4	3	3	2	3	4	3	5	3	3
1119	3	4	1	4	3	3	1	3	4	5	2	4	5	1	1	2	3	4	3	1
1120	2	4	1	3	3	3	1	5	3	4	2	3	5	4	2	2	3	4	3	4
1121	5	4	2	4	3	3	1	2	3	4	2	2	4	2	2	3	2	3	3	3
1122	4	4	2	4	1	3	3	3	1	4	3	4	3	1	2	5	2	2	4	4
1123	3	2	3	4	2	2	2	3	3	3	3	3	3	1	2	3	2	3	3	4
1124	2	3	2	5	4	3	2	4	1	4	3	2	5	1	1	2	2	4	2	3
1125	3	3	2	3	1	1	2	2	2	2	2	3	2	1	3	5	3	3	5	2
1126	3	2	2	4	4	2	1	3	2	4	4	3	4	1	1	2	1	2	2	3
